datetime,count,mean,std,min,25%,50%,75%,max
2022-09-23 00:00:00,1056.0,3.2329545454545454,10.130274329565056,1.0,1.0,1.0,1.0,100.0
2022-09-24 00:00:00,1056.0,3.2329545454545454,10.130274329565056,1.0,1.0,1.0,1.0,100.0
2022-09-25 00:00:00,1056.0,3.2329545454545454,10.130274329565056,1.0,1.0,1.0,1.0,100.0
2022-09-26 00:00:00,1056.0,3.2329545454545454,10.130274329565056,1.0,1.0,1.0,1.0,100.0
2022-09-27 00:00:00,1056.0,3.2329545454545454,10.130274329565056,1.0,1.0,1.0,1.0,100.0
2022-09-28 00:00:00,1056.0,3.2329545454545454,10.130274329565056,1.0,1.0,1.0,1.0,100.0
2022-09-29 00:00:00,1056.0,3.2329545454545454,10.130274329565056,1.0,1.0,1.0,1.0,100.0
2022-09-30 00:00:00,1056.0,3.2329545454545454,10.130274329565056,1.0,1.0,1.0,1.0,100.0
2022-10-01 00:00:00,1052.0,3.1311787072243344,10.013782003219127,1.0,1.0,1.0,1.0,100.0
2022-10-02 00:00:00,1052.0,3.1311787072243344,10.013782003219127,1.0,1.0,1.0,1.0,100.0
2022-10-03 00:00:00,1052.0,3.1311787072243344,10.013782003219127,1.0,1.0,1.0,1.0,100.0
2022-10-04 00:00:00,1052.0,3.1311787072243344,10.013782003219127,1.0,1.0,1.0,1.0,100.0
2022-10-05 00:00:00,1052.0,3.1311787072243344,10.013782003219127,1.0,1.0,1.0,1.0,100.0
2022-10-06 00:00:00,1052.0,3.1311787072243344,10.013782003219127,1.0,1.0,1.0,1.0,100.0
2022-10-07 00:00:00,1052.0,3.1311787072243344,10.013782003219127,1.0,1.0,1.0,1.0,100.0
2022-10-08 00:00:00,1052.0,3.1311787072243344,10.013782003219127,1.0,1.0,1.0,1.0,100.0
2022-10-09 00:00:00,1052.0,3.1311787072243344,10.013782003219127,1.0,1.0,1.0,1.0,100.0
2022-10-10 00:00:00,1052.0,3.1311787072243344,10.013782003219127,1.0,1.0,1.0,1.0,100.0
2022-10-11 00:00:00,1052.0,3.1311787072243344,10.013782003219127,1.0,1.0,1.0,1.0,100.0
2022-10-12 00:00:00,1051.0,3.1056137012369174,9.984143470388323,1.0,1.0,1.0,1.0,100.0
2022-10-13 00:00:00,1051.0,3.1056137012369174,9.984143470388323,1.0,1.0,1.0,1.0,100.0
2022-10-14 00:00:00,1051.0,3.1056137012369174,9.984143470388323,1.0,1.0,1.0,1.0,100.0
2022-10-15 00:00:00,1051.0,3.1056137012369174,9.984143470388323,1.0,1.0,1.0,1.0,100.0
2022-10-16 00:00:00,1051.0,3.1056137012369174,9.984143470388323,1.0,1.0,1.0,1.0,100.0
2022-10-17 00:00:00,1051.0,3.1056137012369174,9.984143470388323,1.0,1.0,1.0,1.0,100.0
2022-10-18 00:00:00,1051.0,3.1056137012369174,9.984143470388323,1.0,1.0,1.0,1.0,100.0
2022-10-19 00:00:00,0.0,,,,,,,
2022-10-20 00:00:00,1051.0,3.1056137012369174,9.984143470388323,1.0,1.0,1.0,1.0,100.0
2022-10-21 00:00:00,1051.0,3.1056137012369174,9.984143470388323,1.0,1.0,1.0,1.0,100.0
2022-10-22 00:00:00,46.0,46.95652173913044,7.263168949460406,30.0,50.0,50.0,50.0,50.0
2022-10-23 00:00:00,0.0,,,,,,,
2022-10-24 00:00:00,1050.0,3.060952380952381,9.883308624573028,1.0,1.0,1.0,1.0,100.0
2022-10-25 00:00:00,1050.0,3.060952380952381,9.883308624573028,1.0,1.0,1.0,1.0,100.0
2022-10-26 00:00:00,1048.0,2.942748091603053,9.39062940470551,1.0,1.0,1.0,1.0,50.0
2022-10-27 00:00:00,1048.0,2.942748091603053,9.39062940470551,1.0,1.0,1.0,1.0,50.0
2022-10-28 00:00:00,1048.0,2.942748091603053,9.39062940470551,1.0,1.0,1.0,1.0,50.0
2022-10-29 00:00:00,1048.0,2.942748091603053,9.39062940470551,1.0,1.0,1.0,1.0,50.0
2022-10-30 00:00:00,1052.0,3.034220532319392,9.48907770445054,1.0,1.0,1.0,1.0,50.0
2022-10-31 00:00:00,1053.0,3.12630579297246,9.94415018675905,1.0,1.0,1.0,1.0,100.0
2022-11-01 00:00:00,1053.0,3.12630579297246,9.944150186759046,1.0,1.0,1.0,1.0,100.0
2022-11-02 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-03 00:00:00,1053.0,3.12630579297246,9.94415018675905,1.0,1.0,1.0,1.0,100.0
2022-11-04 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-05 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-06 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-07 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-08 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-09 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-10 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-11 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-12 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-13 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-14 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-15 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-16 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-17 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-18 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-19 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-20 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-21 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-22 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-23 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-24 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-25 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-26 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-27 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-28 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-29 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-11-30 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-01 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-02 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-03 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-04 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-05 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-06 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-07 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-08 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-09 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-10 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-11 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-12 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-13 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-14 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-15 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-16 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-17 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-18 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-19 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-20 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-21 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-22 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-23 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-24 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-25 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-26 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-27 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-28 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-29 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-30 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2022-12-31 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2023-01-01 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2023-01-02 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2023-01-03 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2023-01-04 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2023-01-05 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2023-01-06 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2023-01-07 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2023-01-08 00:00:00,1053.0,3.12630579297246,9.944150186759048,1.0,1.0,1.0,1.0,100.0
2023-01-09 00:00:00,1052.0,3.1007604562737643,9.914252702668236,1.0,1.0,1.0,1.0,100.0
2023-01-10 00:00:00,1052.0,3.1007604562737643,9.914252702668236,1.0,1.0,1.0,1.0,100.0
2023-01-11 00:00:00,1052.0,3.1007604562737643,9.914252702668236,1.0,1.0,1.0,1.0,100.0
2023-01-12 00:00:00,1052.0,3.1007604562737643,9.914252702668236,1.0,1.0,1.0,1.0,100.0
2023-01-13 00:00:00,1052.0,3.1007604562737643,9.914252702668236,1.0,1.0,1.0,1.0,100.0
2023-01-14 00:00:00,1052.0,3.1007604562737643,9.914252702668236,1.0,1.0,1.0,1.0,100.0
2023-01-15 00:00:00,1052.0,3.1007604562737643,9.914252702668236,1.0,1.0,1.0,1.0,100.0
2023-01-16 00:00:00,1052.0,3.1007604562737643,9.914252702668236,1.0,1.0,1.0,1.0,100.0
2023-01-17 00:00:00,1052.0,3.1007604562737643,9.914252702668236,1.0,1.0,1.0,1.0,100.0
2023-01-18 00:00:00,1051.0,3.075166508087536,9.8841413070135,1.0,1.0,1.0,1.0,100.0
2023-01-19 00:00:00,1051.0,3.075166508087536,9.8841413070135,1.0,1.0,1.0,1.0,100.0
2023-01-20 00:00:00,1051.0,3.075166508087536,9.8841413070135,1.0,1.0,1.0,1.0,100.0
